datetime,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DIFF,ALLSKY_KT,SZA,T2M,WS50M,WSC
2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,90.0,22.94,1.49,1.67
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,90.0,22.56,1.06,1.18
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,90.0,22.1,0.98,1.1
2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,90.0,21.54,0.96,1.07
2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,90.0,21.09,0.95,1.06
2020-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,90.0,20.75,1.12,1.25
2020-01-01 06:00:00,30.7,55.88,13.1,34.86,0.23,84.53,20.97,1.45,1.62
2020-01-01 07:00:00,166.45,285.58,96.46,121.47,0.37,71.25,22.55,2.62,2.93
2020-01-01 08:00:00,320.67,526.2,372.15,148.77,0.44,58.43,24.44,3.59,4.01
2020-01-01 09:00:00,451.48,728.08,302.63,212.07,0.47,46.64,26.27,3.74,4.18
2020-01-01 10:00:00,528.05,869.33,364.87,228.55,0.47,36.93,28.61,3.66,4.09
2020-01-01 11:00:00,538.78,928.1,333.79,217.17,0.45,31.32,30.19,3.49,3.9
2020-01-01 12:00:00,530.38,914.1,187.27,271.58,0.44,32.06,31.52,3.37,3.77
2020-01-01 13:00:00,473.05,826.25,443.3,182.85,0.43,38.79,32.32,3.42,3.82
2020-01-01 14:00:00,376.92,665.38,326.61,168.02,0.41,49.09,32.29,3.55,3.97
2020-01-01 15:00:00,241.5,455.42,239.16,116.22,0.36,61.16,31.56,3.51,3.92
2020-01-01 16:00:00,126.15,221.43,220.52,70.82,0.33,74.14,30.13,3.09,3.45
2020-01-01 17:00:00,21.33,25.45,29.55,24.98,0.28,86.87,27.52,2.45,2.74
2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,90.0,26.17,2.05,2.29
2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,90.0,25.51,1.81,2.02
2020-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,90.0,24.67,2.12,2.37
2020-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,90.0,23.83,2.41,2.69
2020-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,90.0,23.18,2.22,2.48
2020-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,90.0,22.68,1.98,2.21
2020-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,90.0,22.25,1.92,2.15
2020-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,90.0,21.85,1.83,2.05
2020-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,90.0,21.52,1.79,2.0
2020-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,90.0,21.29,1.76,1.97
2020-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,90.0,21.04,1.79,2.0
2020-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,90.0,20.64,1.85,2.07
2020-01-02 06:00:00,51.1,53.35,122.87,38.55,0.39,84.62,21.11,2.1,2.35
2020-01-02 07:00:00,229.62,272.85,416.47,88.81,0.51,71.33,23.29,3.33,3.72
2020-01-02 08:00:00,429.98,503.4,476.8,122.59,0.58,58.49,25.62,3.85,4.3
